Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,
Eclipse (Main Stage),,,,,Aurora (Tent Stage),,,,,Afterglow (Dome),,,,,Polaris (Food Hall),,,,,Cosmic Connection (Wellness),,,,,Sacred Fire,,,,,Röstin (Film Premieres),,,,,Campsite Yoga,,,,,Starseeds (Kids & Family),,,,,All Stages,,,
SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST
EF1,Dance,23:30 - 01:00,Above & Beyond,,AF1,Dance,03:30 - 05:00,exos,,GF1,Dance,02:30 - 05:00,John 00 Fleming,,PF1,Community Space,00:45 - 02:15,East Forest - Music for Mushrooms Screening,,CF1,Cosmic Space,18:30 - 19:15,Johan Matton - Totality Integration: A Homecoming Ceremony,,SF1,Cosmic Space,22:00 - 23:00,Sacred Explorer - Shadows of Enlightenment,,,,,,,YF1,Cosmic Space,09:00 - 10:30,Airi-Triin Teder - Dynamic Vinyasa Flow,,KF1,Dance,14:00 - 14:30,Lara Matossian - Through the Wormhole- Improv Workshop (Suitable for mixed aged groups/ families.) (Pending),,,,,
EF2,Dance,22:00 - 23:30,Apashe & Brass Orchestra,,AF2,Dance,02:00 - 03:30,Dave Clarke,,GF2,Dance,01:00 - 02:30,BigRedMachine,,PF2,Community Space,23:30 - 00:45,Gio Israel - Seekers Screening,,CF2,Cosmic Space,17:00 - 18:15,CEREMONY: WOLF,,SF2,Dance,21:00 - 22:00,Winter Jendayi - Ceremonial Concert,,,,,,,YF2,Cosmic Space,08:00 - 09:00,Patrick Kronfli - Morning meditation,,,,,,,,,,
EF3,Dance,20:30 - 22:00,CloZee - with Live visuals by Android Jones,,AF3,Dance,00:30 - 02:00,Nick Warren,,GF3,Dance,00:00 - 01:00,Natural Symphony,,PF3,Dance,22:00 - 23:15,Bear Kittay,,CF3,Cosmic Space,16:00 - 17:00,Emily Fletcher - The Alchemy of Totality,,SF3,Cosmic Space,20:00 - 21:00,Rojelio Carrillo Carrillo - Wixarika Creation Myth Prayer,,,,,,,,,,,,,,,,,,,,
EF4,Dance,19:15 - 20:30,RJD2,,AF4,Dance,23:00 - 00:30,ANNA,,GF4,Dance,23:00 - 00:00,Klaki,,PF4,Dance,20:45 - 21:45,Mendeleyev,,CF4,Cosmic Space,15:00 - 16:00,The Wizard Devin Person - The Magic Circle: A Metamodern Ritual Experience,,,,,,,,,,,,,,,,,,,,,,,,,
EF5,Dance,18:00 - 19:00,Dr Chrispy,,AF5,Dance,21:30 - 23:00,Desert Hearts,,GF5,Dance,22:00 - 23:00,VNCCII,,PF5,Dance,19:30 - 20:30,Bear Kittay,,CF5,Cosmic Space,14:00 - 15:00,Brien Egan - Great Grief! Overcoming Ourselves,,,,,,,,,,,,,,,,,,,,,,,,,
EF6,Dance,17:00 - 17:45,Vök,,AF6,Dance,20:00 - 21:30,Freedom Fighters,,GF6,Dance,20:45 - 21:45,Joaqopelli Tribute: GDubz & Mena Domina,,PF6,Inner Space,18:15 - 18:40,Enamory - Post-Eclipse Integration,,CF6,Cosmic Space,13:00 - 14:00,Leanne Falco - Earth to Star: Frequency Attunement,,,,,,,,,,,,,,,,,,,,,,,,,
EF7,Dance,15:45 - 16:45,Hjálmar,,AF7,Dance,19:00 - 20:00,Ali Love,,GF7,Dance,19:30 - 20:30,Erik Hammer,,PF7,Inner Space,17:45 - 18:10,Gio Israel - Seekers: How to be Human,,CF7,Cosmic Space,12:00 - 13:00,Heiðrún María - ENTERING THE HEART OF THE LAND: cacao ceremony and song journey,,,,,,,,,,,,,,,,,,,,,,,,,
EF8,Dance,13:45 - 15:25,Zero 7 (DJ Set),,AF8,Dance,18:00 - 19:00,Sísý Ey,,GF8,Dance,18:30 - 19:15,dj. flugvél og geimskip,,PF8,Inner Space,16:45 - 17:35,"Visionary OG's Panel (Alex Grey & Allyson Grey, Android Jones, Amanda Sage, Chris Dyer)",,CF8,Cosmic Space,11:00 - 12:00,Hinrik Jóhannesson - Men's Circle,,,,,,,,,,,,,,,,,,,,,,,,,
EF9,Dance,13:00 - 13:35,Karlakórinn Heiðbjört,,AF9,Dance,16:30 - 18:00,Justin Sloe (Droog),,GF9,Dance,17:30 - 18:15,DJ BINX,,PF9,Inner Space,15:45 - 16:35,"More than Music panel (East Forest, Reggie Watts)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AF10,Dance,15:00 - 16:30,Carla Rose,,GF10,,17:15 - 17:30,DJ BINX (Pending),,PF10,Community Space,14:30 - 15:20,"When Nature Conducts: How the cosmos becomes music, and music becomes connection (Gwen Bethel Riley, Kyter, Coco Reilly, Natural Symphony, Néfur)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AF11,Dance,13:30 - 15:00,Samwise,,GF11,Digital Space,16:30 - 16:55,"Crypto Panel (Ryan Horst, Mason Lynaugh, Matt McKibbin, Isabel Foxen Duke)",,PF11,Community Space,14:00 - 14:25,"Whale Songs (Johanna Maggy, Amaresh Kollipara)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AF12,Digital Space,12:30 - 12:55,David Helgason - Fireside Chat on AI,,GF12,Digital Space,16:00 - 16:25,JT Marino,,PF12,Community Space,13:30 - 13:55,Whitney Silverstein - The Power of Music to Transform Communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AF13,Digital Space,12:00 - 12:25,"Brittany Kaiser - Ethical tech in the age of AI: data ownership, decentralization and open-source",,GF13,Dance,15:00 - 15:45,annu,,PF13,Community Space,12:15 - 13:05,Dr. Palōmi Sheth - Moroccan Tea Ceremony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AF14,Digital Space,11:00 - 11:50,"Ai: Symbiotic vs Sycophantic Singularity? (Kevin Russell, Sara Ahmadian, Rohan Roberts, Tannya Jajal)",,GF14,Digital Space,14:00 - 15:00,"Mimu Gloves Demo (Him Gone Ape, Adam Stark, Kathi Geiger, annu, Josh Draper)",,PF14,Community Space,11:00 - 11:50,Katia Yakovleva - Frontier Tower: Community Lightning Talks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,GF15,Outer Space,13:00 - 13:45,"Interplanetary Species Panel (Ubaldo Ciminieri, Dr. Amelie Schoenenwald, Amaresh Kollipara, Kevin Russell)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,GF16,Outer Space,12:15 - 13:00,"Icelandic Space Agency (Daniel Leeb, Hjörtur Smárason, Matthew Devlen)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,GF17,Dance,11:00 - 12:00,"Yoga Moves (Tómas Oddur Eiríksson, DJ Margeir)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
